BayesianSearch: New best config found. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 5, 'rcond': 0.1, 'lambda_2': 0.001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.35938468950647345, 'precision': 0.22044706488456461, 'recall': 0.0708998379145463, 'map': 0.1470221393794589, 'NDCG': 0.10388241702160429, 'MRR': 0.4036492172071188, 'F1': 0.10729244772394263, 'HR': 1.102235324422565, 'ARHR': 0.5423220946983522}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 5, 'rcond': 0.1, 'lambda_2': 0.001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.3587395174446886, 'precision': 0.22023526717999242, 'recall': 0.07075949695957078, 'map': 0.1470309563334503, 'NDCG': 0.1038331143403774, 'MRR': 0.40281967619755155, 'F1': 0.1071066468463251, 'HR': 1.1011763358997109, 'ARHR': 0.5417608784834194}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'pseudoInv': True, 'epochs': 1, 'rcond': 0.26, 'lambda_2': 0.0001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.320531259242298, 'precision': 0.2064397950714489, 'recall': 0.0627455502274904, 'map': 0.1383432076857986, 'NDCG': 0.10258508508779725, 'MRR': 0.3657751128156656, 'F1': 0.09623984928468884, 'HR': 1.0321989753570509, 'ARHR': 0.5013938578665428}
BayesianSearch: New best config found. Config: {'topK': 300, 'pseudoInv': True, 'epochs': 5, 'rcond': 0.16000000000000003, 'lambda_2': 0.01, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.3496105116536435, 'precision': 0.2331835484702438, 'recall': 0.07844175154205928, 'map': 0.15220162680357446, 'NDCG': 0.11901026201978802, 'MRR': 0.39795977751699035, 'F1': 0.11739307413150635, 'HR': 1.1659177423509546, 'ARHR': 0.5486385796196862}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 300, 'pseudoInv': True, 'epochs': 5, 'rcond': 0.16000000000000003, 'lambda_2': 0.01, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.36159449325968096, 'precision': 0.2291250465096834, 'recall': 0.07343101143904879, 'map': 0.1526487592661831, 'NDCG': 0.11608597256039133, 'MRR': 0.40832784758196167, 'F1': 0.11121829141544477, 'HR': 1.1456252325481553, 'ARHR': 0.556496560672382}
BayesianSearch: New best config found. Config: {'topK': 300, 'pseudoInv': True, 'epochs': 4, 'rcond': 0.12000000000000001, 'lambda_2': 0.01, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.37145692015608095, 'precision': 0.2433269412405124, 'recall': 0.08065111455980195, 'map': 0.1628230272761507, 'NDCG': 0.11851477210368676, 'MRR': 0.42500763234969463, 'F1': 0.12114764356491162, 'HR': 1.2166347062022382, 'ARHR': 0.5862288560061494}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 300, 'pseudoInv': True, 'epochs': 4, 'rcond': 0.12000000000000001, 'lambda_2': 0.01, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.3708034002117997, 'precision': 0.24136638140765748, 'recall': 0.07936047381827768, 'map': 0.16241258176953677, 'NDCG': 0.1175066928945674, 'MRR': 0.4250565270900517, 'F1': 0.11944712505487684, 'HR': 1.2068319070379805, 'ARHR': 0.5851157255025123}
BayesianSearch: New best config found. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 4, 'rcond': 0.2, 'lambda_2': 1e-05, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.3674225077993092, 'precision': 0.2437219153382244, 'recall': 0.08146929611943603, 'map': 0.16571395861362365, 'NDCG': 0.12789411796924874, 'MRR': 0.4250670215709105, 'F1': 0.12211801667383702, 'HR': 1.218609576690804, 'ARHR': 0.591366858429419}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 4, 'rcond': 0.2, 'lambda_2': 1e-05, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.3682441779482325, 'precision': 0.24515011877850645, 'recall': 0.0818559895280334, 'map': 0.16653325557881116, 'NDCG': 0.128465271159572, 'MRR': 0.4260725836457646, 'F1': 0.12273168632506701, 'HR': 1.2257505938922122, 'ARHR': 0.5936730205977722}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'pseudoInv': True, 'epochs': 1, 'rcond': 0.1, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'zero'} - results: {'AUC': 0.36057128137611394, 'precision': 0.223735653567699, 'recall': 0.07466697007797751, 'map': 0.14963786885718586, 'NDCG': 0.10459637391210254, 'MRR': 0.40648058044018043, 'F1': 0.11196726855962529, 'HR': 1.1186782678382323, 'ARHR': 0.5486800805212646}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'pseudoInv': True, 'epochs': 0, 'rcond': 0.1, 'lambda_2': 10.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': False, 'initialize': 'random'} - results: {'AUC': 0.2669485865842372, 'precision': 0.1546695669595622, 'recall': 0.04427581834886302, 'map': 0.09732027406496019, 'NDCG': 0.07278093610949325, 'MRR': 0.29077654388125507, 'F1': 0.06884423722804359, 'HR': 0.7733478347977905, 'ARHR': 0.37406289056164954}
