User-ID,ISBN,Book-Rating
0,24574,1
1,22123,1
1,7592,1
2,21431,1
3,3466,1
4,18723,1
4,15622,1
4,12751,1
5,24882,1
6,13524,1
7,26799,1
8,16684,1
8,11330,1
8,3703,1
8,3455,1
8,3258,1
9,18619,1
9,18279,1
9,17718,1
9,15128,1
9,15115,1
9,14944,1
9,14868,1
9,9683,1
9,8234,1
9,796,1
9,773,1
10,22615,1
10,18198,1
10,18195,1
10,17191,1
10,15771,1
10,15163,1
10,11409,1
10,9642,1
10,6246,1
10,6233,1
10,5258,1
10,3511,1
10,3177,1
10,2704,1
10,2325,1
10,962,1
11,16982,1
11,7287,1
12,26000,1
13,2199,1
14,16599,1
14,10671,1
14,10670,1
14,3375,1
14,2241,1
15,88,1
16,20499,1
17,14465,1
17,14338,1
17,13164,1
17,12985,1
17,12763,1
17,12302,1
17,10756,1
17,10558,1
17,8929,1
17,5124,1
17,2425,1
18,7146,1
19,15637,1
19,9774,1
19,7324,1
19,5309,1
19,2727,1
20,9928,1
21,2730,1
22,10608,1
22,7203,1
23,20140,1
24,1244,1
25,18437,1
25,18399,1
25,18398,1
26,8236,1
27,22290,1
27,9703,1
27,3368,1
28,17061,1
28,1903,1
29,1750,1
30,19095,1
31,18346,1
31,10922,1
31,8451,1
32,25468,1
32,25458,1
33,19111,1
34,20970,1
34,11320,1
34,317,1
35,10864,1
36,17365,1
37,23717,1
38,23617,1
38,23398,1
39,19589,1
40,2154,1
41,6024,1
42,4036,1
43,21000,1
44,22247,1
45,3965,1
46,4337,1
47,14639,1
48,46,1
49,19551,1
50,14819,1
51,16044,1
51,15629,1
51,6139,1
51,786,1
51,772,1
51,770,1
52,7920,1
53,23223,1
53,22673,1
53,22545,1
53,22293,1
53,21442,1
53,21441,1
53,21440,1
53,21439,1
53,19857,1
53,19794,1
53,19792,1
53,19358,1
53,18279,1
53,16943,1
53,16818,1
53,16487,1
53,14255,1
53,14249,1
53,13206,1
53,10059,1
53,8962,1
53,4192,1
53,4190,1
53,4042,1
53,4041,1
53,4040,1
54,17990,1
54,4930,1
54,782,1
55,21331,1
55,17576,1
55,16638,1
55,16206,1
55,13272,1
55,9838,1
55,2917,1
56,25579,1
56,25506,1
56,25465,1
56,25367,1
56,25335,1
56,25334,1
57,14309,1
57,10669,1
57,10668,1
57,10652,1
57,10003,1
57,9689,1
57,8009,1
57,5125,1
57,4252,1
58,26608,1
59,16808,1
60,22775,1
60,13290,1
60,12225,1
60,4423,1
60,1954,1
61,634,1
62,23571,1
63,23804,1
64,4530,1
65,23704,1
65,23698,1
66,22207,1
66,20913,1
66,15633,1
